Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Philippines,PHL,2017,Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of ever-partnered women ages 15-49),SG.VAW.1549.ZS,5.5
Philippines,PHL,2022,Women who believe a husband is justified in beating his wife when she argues with him (%),SG.VAW.ARGU.ZS,2.2
Philippines,PHL,2017,Women who believe a husband is justified in beating his wife when she argues with him (%),SG.VAW.ARGU.ZS,2.2
Philippines,PHL,2013,Women who believe a husband is justified in beating his wife when she argues with him (%),SG.VAW.ARGU.ZS,3
Philippines,PHL,2008,Women who believe a husband is justified in beating his wife when she argues with him (%),SG.VAW.ARGU.ZS,2.9
Philippines,PHL,2003,Women who believe a husband is justified in beating his wife when she argues with him (%),SG.VAW.ARGU.ZS,5.1
Philippines,PHL,2022,Women who believe a husband is justified in beating his wife when she burns the food (%),SG.VAW.BURN.ZS,1
Philippines,PHL,2017,Women who believe a husband is justified in beating his wife when she burns the food (%),SG.VAW.BURN.ZS,1.3
Philippines,PHL,2013,Women who believe a husband is justified in beating his wife when she burns the food (%),SG.VAW.BURN.ZS,1.8
Philippines,PHL,2008,Women who believe a husband is justified in beating his wife when she burns the food (%),SG.VAW.BURN.ZS,2.1
Philippines,PHL,2003,Women who believe a husband is justified in beating his wife when she burns the food (%),SG.VAW.BURN.ZS,3.1
Philippines,PHL,2022,Women who believe a husband is justified in beating his wife when she goes out without telling him (%),SG.VAW.GOES.ZS,1.9
Philippines,PHL,2017,Women who believe a husband is justified in beating his wife when she goes out without telling him (%),SG.VAW.GOES.ZS,3.4
Philippines,PHL,2013,Women who believe a husband is justified in beating his wife when she goes out without telling him (%),SG.VAW.GOES.ZS,4.3
Philippines,PHL,2008,Women who believe a husband is justified in beating his wife when she goes out without telling him (%),SG.VAW.GOES.ZS,5.1
Philippines,PHL,2003,Women who believe a husband is justified in beating his wife when she goes out without telling him (%),SG.VAW.GOES.ZS,8.8
Philippines,PHL,2022,Women who believe a husband is justified in beating his wife when she neglects the children (%),SG.VAW.NEGL.ZS,6.7
Philippines,PHL,2017,Women who believe a husband is justified in beating his wife when she neglects the children (%),SG.VAW.NEGL.ZS,8.6
Philippines,PHL,2013,Women who believe a husband is justified in beating his wife when she neglects the children (%),SG.VAW.NEGL.ZS,10.6
Philippines,PHL,2008,Women who believe a husband is justified in beating his wife when she neglects the children (%),SG.VAW.NEGL.ZS,11.5
Philippines,PHL,2003,Women who believe a husband is justified in beating his wife when she neglects the children (%),SG.VAW.NEGL.ZS,20.5
