Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Zimbabwe,ZWE,2015,Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of ever-partnered women ages 15-49),SG.VAW.1549.ZS,19.9
Zimbabwe,ZWE,2015,Women who believe a husband is justified in beating his wife when she argues with him (%),SG.VAW.ARGU.ZS,16.7
Zimbabwe,ZWE,2011,Women who believe a husband is justified in beating his wife when she argues with him (%),SG.VAW.ARGU.ZS,15.6
Zimbabwe,ZWE,2006,Women who believe a husband is justified in beating his wife when she argues with him (%),SG.VAW.ARGU.ZS,26
Zimbabwe,ZWE,1999,Women who believe a husband is justified in beating his wife when she argues with him (%),SG.VAW.ARGU.ZS,31.7
Zimbabwe,ZWE,2015,Women who believe a husband is justified in beating his wife when she burns the food (%),SG.VAW.BURN.ZS,8.1
Zimbabwe,ZWE,2011,Women who believe a husband is justified in beating his wife when she burns the food (%),SG.VAW.BURN.ZS,7.5
Zimbabwe,ZWE,2006,Women who believe a husband is justified in beating his wife when she burns the food (%),SG.VAW.BURN.ZS,12.2
Zimbabwe,ZWE,1999,Women who believe a husband is justified in beating his wife when she burns the food (%),SG.VAW.BURN.ZS,12
Zimbabwe,ZWE,2015,Women who believe a husband is justified in beating his wife when she goes out without telling him (%),SG.VAW.GOES.ZS,22.8
Zimbabwe,ZWE,2011,Women who believe a husband is justified in beating his wife when she goes out without telling him (%),SG.VAW.GOES.ZS,22.3
Zimbabwe,ZWE,2006,Women who believe a husband is justified in beating his wife when she goes out without telling him (%),SG.VAW.GOES.ZS,33
Zimbabwe,ZWE,1999,Women who believe a husband is justified in beating his wife when she goes out without telling him (%),SG.VAW.GOES.ZS,27.8
Zimbabwe,ZWE,2015,Women who believe a husband is justified in beating his wife when she neglects the children (%),SG.VAW.NEGL.ZS,21.4
Zimbabwe,ZWE,2011,Women who believe a husband is justified in beating his wife when she neglects the children (%),SG.VAW.NEGL.ZS,21.4
Zimbabwe,ZWE,2006,Women who believe a husband is justified in beating his wife when she neglects the children (%),SG.VAW.NEGL.ZS,30.2
Zimbabwe,ZWE,1999,Women who believe a husband is justified in beating his wife when she neglects the children (%),SG.VAW.NEGL.ZS,31.2
Zimbabwe,ZWE,2015,Women who believe a husband is justified in beating his wife (any of five reasons) (%),SG.VAW.REAS.ZS,38.7
Zimbabwe,ZWE,2011,Women who believe a husband is justified in beating his wife (any of five reasons) (%),SG.VAW.REAS.ZS,39.6
Zimbabwe,ZWE,2006,Women who believe a husband is justified in beating his wife (any of five reasons) (%),SG.VAW.REAS.ZS,47.7
Zimbabwe,ZWE,1999,Women who believe a husband is justified in beating his wife (any of five reasons) (%),SG.VAW.REAS.ZS,51
Zimbabwe,ZWE,2015,Women who believe a husband is justified in beating his wife when she refuses sex with him (%),SG.VAW.REFU.ZS,14.5
Zimbabwe,ZWE,2011,Women who believe a husband is justified in beating his wife when she refuses sex with him (%),SG.VAW.REFU.ZS,16.9
Zimbabwe,ZWE,2006,Women who believe a husband is justified in beating his wife when she refuses sex with him (%),SG.VAW.REFU.ZS,24.3
Zimbabwe,ZWE,1999,Women who believe a husband is justified in beating his wife when she refuses sex with him (%),SG.VAW.REFU.ZS,22.3
Zimbabwe,ZWE,2020,"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,0.9
Zimbabwe,ZWE,2019,"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,1.25
Zimbabwe,ZWE,2018,"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,1.25
Zimbabwe,ZWE,2017,"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,1.21
Zimbabwe,ZWE,2016,"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,1.23
Zimbabwe,ZWE,2015,"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,1.29
Zimbabwe,ZWE,2014,"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,1.36
Zimbabwe,ZWE,2013,"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,1.41
Zimbabwe,ZWE,2012,"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,1.38
Zimbabwe,ZWE,2011,"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,1.29
Zimbabwe,ZWE,2010,"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,1.13
