,pocme_v2_1_score,domain_adherence,significance_quality,precision_reliability,completeness_coverage,implementation_safety,computational_efficiency,power_proxy,estimated_fdr,raw_completeness_rate,missing_scenarios,n_estimates,boundary_rate,outlier_penalty,cherry_pick_penalty,over_discovery_rate
Meta-DML,75.76201923076923,99.03846153846155,58.762019230769226,52.0,89.0,85.0,55.0,1.0,0.1393939393939394,1.0,0.0,104.0,0.2692307692307692,1.0,0.0,0.3173076923076923
DoubleML,63.2734375,96.875,38.1171875,36.0,89.87499999999999,50.0,65.0,0.2,0.3076923076923077,0.9230769230769231,8.0,96.0,0.052083333333333336,1.0,0.0,0.13541666666666666
BART,55.28894230769231,99.03846153846155,25.233173076923073,36.0,76.88461538461539,20.0,75.0,0.2,2.6,1.0,0.0,104.0,0.0,1.0,0.0,0.019230769230769232
SCM,54.87399727879717,46.875,57.109375,18.448111393985847,88.625,70.0,85.0,0.6190476190476191,0.024561403508771933,0.9230769230769231,8.0,96.0,0.0625,0.38797215150353787,0.0,0.59375
PSM,51.573958333333344,95.83333333333334,24.953125,16.0,90.5,14.0,75.0,0.07017543859649122,1.2000000000000002,0.9230769230769231,8.0,96.0,0.03125,1.0,0.0,0.041666666666666664
ASCM,47.11864690396864,41.66666666666667,52.05729166666667,16.07760951984316,90.5,35.0,85.0,0.4772727272727273,0.02459016393442623,0.9230769230769231,8.0,96.0,0.03125,0.9805976200392099,0.0,0.6354166666666666
CausalImpact,46.925000000000004,90.625,11.5,16.0,86.125,14.0,75.0,0.046153846153846156,1.6000000000000003,0.9230769230769231,8.0,96.0,0.010416666666666666,1.0,0.0,0.03125
ITS,42.771153846153844,59.61538461538461,24.5,16.0,86.11538461538461,14.0,95.0,0.21052631578947367,0.2888888888888889,1.0,0.0,104.0,0.038461538461538464,1.0,0.0,0.17307692307692307
CausalForests,42.065909090909095,75.0,11.5,16.0,79.77272727272727,14.0,75.0,0.05970149253731343,1.1,0.8461538461538461,16.0,88.0,0.0,1.0,0.0,0.045454545454545456
DiD,37.55,39.42307692307692,24.5,16.0,84.96153846153845,14.0,95.0,0.17,0.3058823529411765,1.0,0.0,104.0,0.14423076923076922,1.0,0.0,0.16346153846153846
