,pocme_v2_1_score,domain_adherence,significance_quality,precision_reliability,completeness_coverage,implementation_safety,computational_efficiency,power_proxy,estimated_fdr,raw_completeness_rate,missing_scenarios,n_estimates,boundary_rate,outlier_penalty,cherry_pick_penalty,over_discovery_rate
Meta-DML,79.91602941176471,100.0,54.83014705882353,68.0,89.0,95.0,55.0,1.0,0.08222222222222222,1.0,0.0,136.0,0.022058823529411766,1.0,0.0,0.33088235294117646
BART,76.77058823529411,100.0,39.06617647058823,68.0,82.38235294117646,95.0,75.0,1.0,0.21250000000000002,1.0,0.0,136.0,0.0,1.0,0.0,0.23529411764705882
DoubleML,70.49765625,92.1875,67.32421875,36.0,86.90625,70.0,65.0,0.5185185185185185,0.09183673469387756,0.9411764705882353,8.0,128.0,0.0625,1.0,0.0,0.3828125
CausalForests,68.35458333333334,95.83333333333334,69.73125,36.0,80.0,50.0,75.0,0.7127659574468085,0.020731707317073172,0.8823529411764706,16.0,120.0,0.05,1.0,0.0,0.6833333333333333
PSM,67.413671875,96.09375,56.708984375,36.0,90.65625,50.0,75.0,0.48333333333333334,0.12195121951219512,0.9411764705882353,8.0,128.0,0.078125,1.0,0.0,0.3203125
CausalImpact,63.728515625,96.875,56.955078125,16.0,91.125,50.0,75.0,0.391304347826087,0.1302325581395349,0.9411764705882353,8.0,128.0,0.09375,1.0,0.0,0.3359375
ITS,62.176699578460585,68.38235294117648,61.53860294117647,16.23460083347939,95.17647058823529,70.0,95.0,0.7102803738317757,0.03222222222222222,1.0,0.0,136.0,0.07352941176470588,0.9413497916301529,0.0,0.6617647058823529
ASCM,54.978125,51.5625,53.75,16.0,89.25,70.0,85.0,0.4563106796116505,0.04285714285714286,0.9411764705882353,8.0,128.0,0.171875,1.0,0.0,0.4921875
DiD,52.389705882352935,65.44117647058823,49.38235294117647,16.0,86.35294117647058,35.0,95.0,0.3333333333333333,0.04861111111111111,1.0,0.0,136.0,0.014705882352941176,1.0,0.0,0.5294117647058824
SCM,49.7359375,54.6875,53.75,16.0,84.09375,35.0,85.0,0.45535714285714285,0.03559322033898305,0.9411764705882353,8.0,128.0,0.09375,1.0,0.0,0.4609375
