,pocme_v2_1_score,domain_adherence,significance_quality,precision_reliability,completeness_coverage,implementation_safety,computational_efficiency,power_proxy,estimated_fdr,raw_completeness_rate,missing_scenarios,n_estimates,boundary_rate,outlier_penalty,cherry_pick_penalty,over_discovery_rate
PSM,79.01827296315118,93.87755102040816,62.07575858063784,63.41866745960784,93.0,85.0,75.0,1.0,0.015000000000000003,0.9333333333333333,7.0,98.0,0.16326530612244897,0.12164096464555077,0.0,0.8163265306122449
Meta-DML,78.59885274155064,100.0,33.90928915000045,77.9956888434671,94.78571428571429,95.0,55.0,0.0,0.013333333333333334,1.0,0.0,105.0,0.009523809523809525,0.41201830332546485,0.0,0.7142857142857143
CausalImpact,78.55297900803512,88.57142857142857,63.62256784366366,63.5530414822263,96.5,85.0,75.0,1.0,0.014473684210526317,1.0,0.0,105.0,0.09523809523809523,0.11130450136720733,0.0,0.7238095238095238
CausalForests,78.42093956920611,97.8021978021978,62.276461796582545,63.20048879670077,82.5,85.0,75.0,1.0,0.016438356164383564,0.8666666666666667,14.0,91.0,0.10989010989010989,0.1384239387153259,0.0,0.8021978021978022
DoubleML,77.18016404839713,83.80952380952381,66.80766701899854,62.38481988965384,95.92857142857143,85.0,65.0,1.0,0.01,1.0,0.0,105.0,0.11428571428571428,0.20116770079585833,0.0,0.7619047619047619
BART,73.39785714285713,100.0,24.9,68.0,78.78571428571428,95.0,75.0,0.0,0.1693548387096774,1.0,0.0,105.0,0.0,1.0,0.0,0.29523809523809524
ITS,65.44250661170622,64.76190476190476,55.8771762886336,43.4722615318023,94.21428571428571,70.0,95.0,0.9382716049382716,0.0189873417721519,1.0,0.0,105.0,0.05714285714285714,0.16974871868863334,0.0,0.7523809523809524
SCM,53.038113249413485,53.333333333333336,52.5,18.75604243754359,91.35714285714286,50.0,85.0,0.7956989247311828,0.016883116883116885,1.0,0.0,105.0,0.047619047619047616,0.31098939061410236,0.0,0.7333333333333333
DiD,46.91756392413309,27.61904761904762,46.71964285714286,19.719367239713087,96.5,50.0,95.0,0.8041237113402062,0.00963855421686747,1.0,0.0,105.0,0.06666666666666667,0.07015819007172817,0.0,0.7904761904761904
ASCM,44.63214285714285,51.42857142857142,32.0,16.0,84.5,35.0,85.0,0.20212765957446807,0.1875,1.0,0.0,105.0,0.02857142857142857,1.0,0.0,0.26666666666666666
